ControllerTime,Controller,PlantTime,Plant
0.001078593,0,0.001075296,0
0.00205287,0,0.002051204,0
0.003062741,0,0.003050852,0
0.004061315,0,0.004049148,0
0.005055759,0,0.005049222,0
0.006055111,0,0.006049111,0
0.007055259,0,0.007049407,0
0.008058480999999999,0,0.008049389000000001,0
0.009055166999999999,0,0.009048796,0
0.010055278,0,0.010048907,0
0.011054722,0,0.011048926,0
0.012059,0,0.012048648,0
0.013054648,0,0.01304863,0
0.014055593,0,0.014049518,0
0.015056407,0,0.015051185,0
0.016063981,0,0.016049018,0
0.017055963,0,0.017049,0
0.018054444,0,0.018048241,0
0.019055093,0,0.01904863,0
0.020055185,0,0.020048796,0
0.021055074,0,0.021048815,0
0.022055259,0,0.022048167,0
0.023054741,0,0.023048667,0
0.024057796,0,0.024050333,0
0.025058463,0,0.025048574,0
0.026056037,0,0.026049241,0
0.027055815,0,0.0270485,0
0.028055259,0,0.028051259,0
0.029055778,0,0.029059222,0
0.030055963,0,0.030049537,0
0.031058018,0,0.031049204,0
0.032055833,0,0.032051278,0
0.033060185,0,0.033049611,0
0.034056315,0,0.034049518,0
0.035055537,0,0.035049389,0
0.036055574,0,0.036050167,0
0.037056,0,0.037049537,0
0.038056,0,0.038049555,0
0.039056667,0,0.03905,0
0.040056056,0,0.040052667,0
0.041059815,0,0.041049407,0
0.042057907,0,0.042049444,0
0.04305663,0,0.043049185,0
0.044056407,0,0.044051444,0
0.045056611,0,0.045049537,0
0.046057741,0,0.046050111,0
0.047056833,0,0.047049574,0
0.048056278,0,0.048050055,0
0.049059352,0,0.049054148,0
0.050059574,0,0.050049259,0
0.051056111,0,0.051049222,0
0.052055759,0,0.0520495,0
0.05305563,0,0.053050222,0
0.054056722,0,0.0540495,0
0.055057056,0,0.055059296,0
0.056056426,0,0.056049722,0
0.057059,0,0.05705,0
0.058059722,0,0.058050963,0
0.059060185,0,0.059049611,0
0.060057907,0,0.060049204,0
0.061056778,0,0.061049296,0
0.062056333,0,0.062051574,0
0.06305709299999999,0,0.063049667,0
0.06405596299999999,0,0.06404911100000001,0
0.065056,0,0.06504985200000001,0
0.066057,0,0.066052185,0
0.06706055599999999,0,0.06704911099999999,0
0.06805750000000001,0,0.068049833,0
0.069055352,0,0.06904922199999999,0
0.070056352,0,0.07005087,0
0.07105618499999999,0,0.07104940699999999,0
0.07205737,0,0.072049055,0
0.0730565,0,0.073049407,0
0.074055944,0,0.07405137000000001,0
