PlantTime,ControllerTime
0.001096537,0.001121944
0.002074408,0.002064611
0.003076759,0.003110481
0.004068833,0.00408287
0.005077019,0.00508474
0.006066185,0.006088685
0.007074574,0.007081333
0.008067184999999999,0.008085017999999999
0.009072833000000001,0.009085074
0.010068222,0.010087166
0.011073204,0.011084592
0.012068259,0.012082444
0.013074556,0.013084222
0.014068482,0.014085888
0.015073704,0.015082518
0.016066778,0.016084537
0.01707313,0.017085851
0.018068352,0.018085574
0.019073759,0.019081814
0.020067315,0.020078777
0.02107363,0.021079463
0.022067741,0.022082574
0.023072648,0.023079907
0.024066833,0.024078518
0.02507537,0.025079703
0.026068667,0.026079129
0.027073222,0.027080203
0.028068685,0.028078796
0.029074963,0.029080407
0.030069315,0.030079888
0.031073185,0.031081888
0.032067815,0.032079388
0.033072037,0.033079703
0.03406713,0.034077944
0.035072722,0.035078796
0.036067593,0.036078277
0.037072445,0.037078407
0.03806737,0.038078444
0.039073056,0.039078963
0.040067574,0.04007824
0.041072185,0.041078814
0.04206687,0.042083018
0.043071908,0.043078611
0.044067204,0.044077851
0.045072759,0.045078759
0.046066741,0.046077963
0.047072722,0.047079463
0.048067426,0.048078796
0.049072482,0.049078981
0.050067296,0.050078222
0.051071796,0.051079111
0.052067889,0.052078777
0.053071796,0.053078963
0.05406613,0.054078851
0.055073908,0.055079314
0.056067556,0.056078018
0.057071778,0.057080037
0.058067074,0.058079444
0.059071593,0.059078444
0.060067056,0.060078111
0.06107137,0.061078222
0.06206713,0.0620785
0.063072185,0.063079944
0.064067259,0.064078574
0.06507213000000001,0.065079055
0.066067037,0.066079055
0.067072519,0.067078888
0.06806701900000001,0.06807874
0.069072704,0.069079685
0.070067408,0.070078981
0.071072204,0.07107894400000001
0.072067389,0.07207814799999999
0.07307137,0.073079388
0.074071074,0.074078648
0.075068,0.07507918500000001
0.076072722,0.076080277
0.07706713,0.077079351
0.07807237,0.07807987
0.07906790800000001,0.079078203
0.080072778,0.080078777
0.081067315,0.081079444
0.082072537,0.08208283299999999
0.08306701900000001,0.083082537
0.084071167,0.08408157400000001
0.085066537,0.085081907
0.08607174099999999,0.086082351
0.087068019,0.087082425
0.088072611,0.08808231399999999
0.089068037,0.08908279600000001
0.09007235199999999,0.090079425
0.091065667,0.091082518
0.09206518499999999,0.092081444
0.093064778,0.09307836999999999
0.094068815,0.094077629
0.095066519,0.095080833
0.096068204,0.09608177699999999
0.097076722,0.09708122199999999
0.09806901899999999,0.09808087
0.09907672200000001,0.099081925
0.100076352,0.10008374
0.101070482,0.101083814
0.102073907,0.102086944
0.103073833,0.103083611
0.104073907,0.104083444
0.105078833,0.105081259
0.106072445,0.106082666
0.107070389,0.107083222
0.108076426,0.108081166
0.109075852,0.109078444
0.110074648,0.110080685
0.111069333,0.111080648
0.112069074,0.112081648
0.113076778,0.113084518
0.114068296,0.114083425
0.115072852,0.115081018
0.116071352,0.116081111
0.117076833,0.117084407
0.118070315,0.118081981
0.119068945,0.119085814
0.12006887,0.120081703
0.121071722,0.121084166
0.122072222,0.122084925
0.123071611,0.123078611
0.124069907,0.124083148
0.12507037,0.125084814
0.126069815,0.126083
0.127068833,0.127085907
0.128069593,0.128079777
0.129070759,0.129083407
0.130074148,0.130079814
0.131069278,0.131080481
0.132070482,0.132082851
0.133068,0.133079685
0.134069593,0.134085703
0.135074648,0.13508324
0.136067204,0.136080648
0.137073722,0.137080611
0.138065889,0.138078018
0.139076833,0.13908574
0.140069093,0.140081537
0.141085574,0.14108187
0.142069463,0.14208024
0.143071241,0.143085925
0.144068778,0.144083148
0.145068704,0.145083037
0.146076648,0.146079629
0.14707063,0.147079685
0.148076241,0.148082314
0.149070796,0.149083111
0.150075852,0.150080314
0.151071685,0.151080611
0.152075926,0.152084796
0.153069278,0.153082981
0.154074148,0.15408374
0.155072111,0.155079666
0.156078352,0.156082925
0.157071296,0.157080444
0.158078519,0.158086407
0.159070056,0.159080796
0.160080907,0.160081981
0.161068667,0.161084277
0.162079,0.16208174
0.163071315,0.163083185
0.164078426,0.16408474
0.165069889,0.16507874
0.166073574,0.166083611
0.167075315,0.167083111
0.168076796,0.168086499
0.169071296,0.169084814
0.170078593,0.170083814
0.171071019,0.171083055
0.172078296,0.172084425
0.173072815,0.173083425
0.174080185,0.174083925
0.175068519,0.175080148
0.176070815,0.176084814
0.177067204,0.17707987
0.178072685,0.178084333
0.17907963,0.179080129
0.180067852,0.180087314
0.181075204,0.181083462
0.182068204,0.182079425
0.183072074,0.183081518
0.184071407,0.184080648
0.185070704,0.18508487
0.186073722,0.186079722
0.187070278,0.187078166
0.188074815,0.18807974
0.189075315,0.189079222
0.190074333,0.19008024
0.19107237,0.191080777
0.192077259,0.192082092
0.193070648,0.193079388
0.194078093,0.194083537
0.195075074,0.195081944
0.196076074,0.196080907
0.197074389,0.197080296
0.198074722,0.198087296
0.19907137,0.199084074
0.200068722,0.200081759
0.2010705,0.201082574
0.202074315,0.202085462
0.20307037,0.203078499
0.204073593,0.204081907
0.205071111,0.205078425
0.206067037,0.206086388
0.207069574,0.207080574
0.208073815,0.20808587
0.2090705,0.209084074
0.210070722,0.21008424
0.211074704,0.211079833
0.212069926,0.212087981
0.213070389,0.213082092
0.214074056,0.214082296
0.215068833,0.215084481
0.216075278,0.216084574
0.217069852,0.217080814
0.218074593,0.218082407
0.219070519,0.219082703
0.220076093,0.220084277
0.221074074,0.221084407
0.222073741,0.222079333
0.223079944,0.22308774
0.224070019,0.22408774
0.22507663,0.225081018
0.226066815,0.226078611
0.227075185,0.227083499
0.228073648,0.228083833
0.229076037,0.229080499
0.230073944,0.230084388
0.231074648,0.231082222
0.232069074,0.23208374
0.233079222,0.233080851
0.2340715,0.234080629
0.235080056,0.235083314
0.236070778,0.236080425
0.237080167,0.237085536
0.23806987,0.238081999
0.239076722,0.23908487
0.240072519,0.240080814
0.241068685,0.241085666
0.242082278,0.242082796
0.243068889,0.243083222
0.244078296,0.244083722
0.245070519,0.245081296
0.246074481,0.246080574
0.247074944,0.247080611
0.248072907,0.248081629
0.249072074,0.249080666
0.250071019,0.250088129
0.251075667,0.251081833
0.252071056,0.252079722
0.253071278,0.253085444
0.254076167,0.25408787
0.255071222,0.255081574
0.256076222,0.256081888
0.257070352,0.257080333
0.258075926,0.258082777
0.259072333,0.259080444
0.260071574,0.260088907
0.261071352,0.261079407
0.262080185,0.262084203
0.263070574,0.263079203
0.264071222,0.264082685
0.265075019,0.265082759
0.266072259,0.266080074
0.267075944,0.267082777
0.268075574,0.268081166
0.269076093,0.269083685
0.270069907,0.270083166
0.271076056,0.271083296
0.272072444,0.27208274
0.273078407,0.273081629
0.274069444,0.274080555
0.275077278,0.275082833
0.276076907,0.276079314
0.277077685,0.277081185
0.27807037,0.278080703
0.279075407,0.27908187
0.280075704,0.28008374
0.281073611,0.281080499
0.282074222,0.282088499
0.283075259,0.283084444
0.284076704,0.28407937
0.285067926,0.285089203
0.286070556,0.286080036
0.28707413,0.287082111
0.288074926,0.288083499
